Country,Year,tree_cover_loss_ha,tree_cover_loss_from_fires_ha
VNM,2002,49625.43782,554.3999235
VUT,2002,108.2396496,1.484036818
XAD,2002,0.507202227,0
XCA,2002,23.39391396,2.092211457
XKO,2002,214.9078823,4.334991911
XNC,2002,3.340847417,1.008361798
ZAF,2002,47679.93414,1450.827346
ZMB,2002,46240.24361,141.3802644
ZWE,2002,8016.170851,35.89755775
ABW,2003,0.9770576,0.225474793
AFG,2003,244.3362552,184.0474834
AGO,2003,52461.54547,314.3572926
AIA,2003,1.097745085,0
ALA,2003,220.7748552,5.634215127
ALB,2003,613.533965,264.6544773
AND,2003,0.342063642,0
ARG,2003,249155.0069,20693.4391
ARM,2003,395.8166949,68.18278762
ATG,2003,17.07802261,0.736088778
AUS,2003,373846.6091,251901.6694
AUT,2003,14475.69483,78.01259422
AZE,2003,1039.341551,94.81775383
BDI,2003,1325.183318,6.07037587
BEL,2003,1889.777513,18.13261559
BEN,2003,3475.926415,2.287282467
BES,2003,16.15018967,5.212132456
BFA,2003,2.038243484,0
BGD,2003,2159.457158,44.08836255
BGR,2003,5198.715558,157.6027541
BHS,2003,274.2308763,19.03619095
BIH,2003,307.8114117,56.79808717
BLR,2003,32119.38156,3534.579128
BLZ,2003,6843.896175,932.8154637
BMU,2003,0.130570243,0
BOL,2003,163759.0988,10757.08888
BRA,2003,3248526.734,175249.5028
BRB,2003,2.997849387,0
BRN,2003,799.1767213,104.6667779
BTN,2003,543.6007673,65.32483143
BWA,2003,8.572551344,0
CAF,2003,13726.63788,137.0785883
CAN,2003,1607282.58,899673.0676
CHE,2003,433.2828851,2.395395072
CHL,2003,82843.76404,4241.382774
CHN,2003,261761.4952,81125.24321
CIV,2003,86247.16119,107.0015625
CMR,2003,25344.84636,70.89428287
COD,2003,274739.9994,1528.219799
COG,2003,18514.84252,180.6396743
COL,2003,122417.1448,8116.580192
COM,2003,26.65331395,0
CPV,2003,8.925222414,0.147991934
CRI,2003,8260.607755,200.954466
CUB,2003,6556.683915,523.5295994
CUW,2003,0.827957708,0
CYM,2003,6.324797604,1.090226743
CYP,2003,25.22916781,5.647125829
CZE,2003,3925.277971,11.25672127
DEU,2003,6448.617531,39.52384517
DMA,2003,27.23870244,0.964818189
DNK,2003,1579.71326,21.41243704
DOM,2003,10714.00158,754.5437687
DZA,2003,3831.437113,0
ECU,2003,13835.72643,1115.269983
EGY,2003,61.01187804,0
ESP,2003,23315.39344,4569.252679
EST,2003,5632.561979,59.85160131
ETH,2003,13936.04122,9.367701742
FIN,2003,89696.55115,2006.086324
FJI,2003,1572.235904,53.28209288
FRA,2003,26393.33418,3576.5194
GAB,2003,16845.22031,155.4096829
GBR,2003,1875.16737,178.1904397
GEO,2003,292.002685,16.75531502
GHA,2003,24955.24902,38.99951538
GIN,2003,9229.458009,7.675838955
GLP,2003,76.87749934,1.552972615
GMB,2003,10.56543665,0
GNB,2003,1021.877364,1.584468869
GNQ,2003,1961.187536,2.383501755
GRC,2003,2562.535174,326.3833354
GRD,2003,71.34625369,0.827978783
GTM,2003,98173.67565,8585.92961
GUF,2003,1889.081601,151.7208079
GUY,2003,7418.606943,2396.799014
HKG,2003,7.057239355,0.213805552
HND,2003,33624.77328,1920.153477
HRV,2003,1738.980492,331.4288084
HTI,2003,1070.162075,54.34069887
HUN,2003,5733.022733,54.26921733
IDN,2003,544810.2966,109259.2683
IMN,2003,1.817298033,0
IND,2003,47750.63815,1465.479377
IRL,2003,2262.865182,87.90393302
IRN,2003,326.6750206,75.58983893
IRQ,2003,19.61672495,7.418781709
ISR,2003,30.17165819,0.84533467
ITA,2003,3613.191038,481.6007331
JAM,2003,1029.274034,42.63566535
JOR,2003,0.065259603,0.065259603
JPN,2003,19747.36425,178.8724875
KAZ,2003,3351.858901,1235.475615
KEN,2003,13552.81076,42.75716063
KGZ,2003,110.7895604,46.94725762
KHM,2003,56839.5435,1488.120621
KNA,2003,32.14738442,2.723030758
KOR,2003,3611.332973,0
LAO,2003,87074.13238,209.2602708
LBN,2003,83.57542339,28.46282714
LBR,2003,21604.81357,165.6024942
LBY,2003,25.26571737,0
LCA,2003,19.4266862,0.373695296
LKA,2003,3149.494821,49.19929798
LSO,2003,2.484692584,0
LTU,2003,8916.009263,27.2252236
LUX,2003,103.4199707,0.698709017
LVA,2003,21321.4159,158.2203069
MAF,2003,3.295436471,0.0732317
MAR,2003,2042.52646,0
MDA,2003,100.5993463,6.638090676
MDG,2003,84247.95977,2742.634309
MDV,2003,2.142708274,0
MEX,2003,152559.2962,17869.34659
MKD,2003,895.2280943,8.507933667
MLI,2003,34.24351147,0
MMR,2003,77224.46441,1342.571269
MNE,2003,203.6859679,86.28793024
MNG,2003,38433.831,35626.30662
MOZ,2003,79643.95853,377.9752206
MRT,2003,1.256266299,1.256266299
MSR,2003,2.286058313,0
MTQ,2003,288.4695298,13.40764328
MUS,2003,119.6302621,0
MWI,2003,7112.996717,29.57537736
MYS,2003,183911.2165,3354.358546
MYT,2003,30.92584943,0.150093504
NAM,2003,208.6842167,0.22030927
NCL,2003,883.9158608,265.0655275
NER,2003,0.224596165,0.074728022
NGA,2003,13380.62881,37.96709651
NIC,2003,46963.69084,868.8429372
NLD,2003,309.8542634,8.112835863
NOR,2003,14817.39184,599.3295727
NPL,2003,2291.937476,311.4073229
NZL,2003,44798.28289,928.9227454
PAK,2003,641.697765,189.6484835
PAN,2003,11283.21097,372.6155939
PER,2003,73869.2433,3972.716969
PHL,2003,35154.20535,581.3668984
PLW,2003,17.62527665,1.22083716
PNG,2003,31805.61403,735.5731957
POL,2003,33292.99197,188.5506529
PRI,2003,1194.089454,10.82910899
PRK,2003,7348.877292,698.2848225
PRT,2003,26840.33637,9104.653192
PRY,2003,267309.0875,16988.33814
PSE,2003,1.438763533,0
REU,2003,142.6275971,0
ROU,2003,9427.598947,213.1785746
RUS,2003,3030068.958,2405138.797
RWA,2003,1060.927568,1.07620927
SDN,2003,18.66824164,0.07558605
SEN,2003,37.78890445,0.07514659
SGP,2003,18.84275868,0
SLB,2003,2374.830165,48.97588194
SLE,2003,9098.946831,11.03765246
SLV,2003,5983.700596,68.06233956
SMR,2003,0.055779092,0
SOM,2003,105.3720153,1.145692856
SRB,2003,864.9410101,30.93037473
SSD,2003,2063.178286,28.51369782
SUR,2003,4545.827243,705.7966983
SVK,2003,3750.001625,23.96043253
SVN,2003,528.3497426,68.09622154
SWE,2003,92619.4072,1161.085797
SWZ,2003,5760.353992,80.68513222
SXM,2003,2.12410459,0
SYR,2003,114.8063417,6.985699509
TCA,2003,10.37610118,0.143159009
TCD,2003,193.5413761,0.829662601
TGO,2003,2054.056559,12.65950996
THA,2003,58447.9422,389.0901397
TJK,2003,31.86869306,0
TKM,2003,84.86276665,41.84425716
TLS,2003,690.7395443,37.62935839
TTO,2003,726.4368091,55.22757113
TUN,2003,1539.083728,0
TUR,2003,17743.88168,1252.531982
TWN,2003,1125.206168,26.35040256
TZA,2003,84068.20903,451.5013333
UGA,2003,11980.09565,9.534340021
UKR,2003,38954.86705,3466.352846
URY,2003,10611.51037,238.6613857
USA,2003,1649193.295,348791.9352
UZB,2003,52.79889595,2.030586445
VCT,2003,9.668587918,0
VEN,2003,87228.87271,13314.35852
VGB,2003,1.82742184,0.073058551
VIR,2003,39.95442694,0.879195708
VNM,2003,43007.84845,828.4743665
VUT,2003,529.2629618,9.636043038
XCA,2003,8.85048139,2.39646783
XKO,2003,261.3241772,13.06094684
XNC,2003,2.458474056,1.008118515
ZAF,2003,92572.61492,2515.046546
ZMB,2003,41954.73061,50.97574624
ZWE,2003,7312.198341,95.57516927
AFG,2004,201.4449585,156.3094905
AGO,2004,71273.87691,260.1385032
AIA,2004,8.853995905,0
ALA,2004,735.849796,12.27024465
ALB,2004,3236.59554,445.4083267
AND,2004,22.58937449,3.365494485
ARG,2004,433429.6897,28953.30299
ARM,2004,83.20474395,9.878864724
ATG,2004,25.46325975,0.514551907
AUS,2004,124768.677,30741.14027
AUT,2004,14599.40477,103.2118593
AZE,2004,584.955793,75.395566
BDI,2004,613.8788333,0.076800311
BEL,2004,4793.340651,85.40107905
BEN,2004,683.6076116,1.985516383
BES,2004,0.297395552,0.150459933
BFA,2004,8.605090964,0.226465867
BGD,2004,4282.539726,73.52525985
BGR,2004,8170.466307,321.1340381
BHS,2004,588.0993715,125.8374722
BIH,2004,4121.820011,696.710868
BLM,2004,0.146597992,0
BLR,2004,38596.68301,694.784968
BLZ,2004,4312.259674,350.4662435
BMU,2004,0.652759236,0
BOL,2004,203251.4841,23256.30915
BRA,2004,3848770.79,199224.4469
BRB,2004,8.319537711,0.14994983
BRN,2004,1197.136196,104.2086378
BTN,2004,1013.177804,109.9763719
BWA,2004,50.65776501,1.085253846
CAF,2004,14588.89728,152.966867
CAN,2004,2706458.872,1477273.851
CHE,2004,3829.659122,209.5785269
CHL,2004,85728.78243,4309.641191
CHN,2004,501543.7961,103009.6042
CIV,2004,48021.60343,209.1633796
CMR,2004,23003.29793,94.54872194
COD,2004,400044.274,5324.243193
COG,2004,13832.85006,412.4934514
COL,2004,253840.0087,13310.62869
COM,2004,40.38383805,0.677701472
CPV,2004,0.59513159,0
CRI,2004,9767.049736,344.4682448
CUB,2004,21973.72747,2471.72912
CUW,2004,0.601840548,0.075270503
CYM,2004,47.10307624,7.849380966
CYP,2004,87.55564101,9.126455466
CZE,2004,13453.69086,50.39527407
DEU,2004,44939.9818,390.8111165
DMA,2004,79.35513134,1.632943234
DNK,2004,2413.812853,64.76517264
DOM,2004,19387.94135,1335.516065
DZA,2004,4374.159388,0
ECU,2004,37249.86389,2407.788797
EGY,2004,101.4492395,0
ESP,2004,67273.87562,19785.67179
EST,2004,18106.2207,103.7643271
ETH,2004,13396.26216,14.76538519
FIN,2004,146602.3462,1963.182146
FJI,2004,2079.813684,44.99704164
FRA,2004,76134.34456,5940.708768
GAB,2004,9981.655614,105.6156764
GBR,2004,24846.81263,2371.230101
GEO,2004,1967.062715,59.14301389
GGY,2004,0.100761849,0
GHA,2004,17625.24051,39.49033784
GIN,2004,17158.3261,10.54388961
GLP,2004,191.1700125,1.996579764
GMB,2004,63.0847225,0
GNB,2004,3539.10216,0.452333842
GNQ,2004,421.4307721,0.384439302
GRC,2004,6813.690617,984.85296
GRD,2004,631.0175742,13.77334022
GTM,2004,56448.60918,3985.552304
GUF,2004,4805.025467,326.6150837
GUY,2004,4062.36701,480.2594945
HKG,2004,18.88890724,0.570042601
HND,2004,26455.07106,1544.275999
HRV,2004,6727.12796,757.4714554
HTI,2004,2382.72801,165.8945967
HUN,2004,12008.50913,422.4330793
IDN,2004,1289042.657,91901.57624
IMN,2004,8.57891682,0.590270944
IND,2004,74129.19983,2086.540821
IRL,2004,6865.772989,297.343107
IRN,2004,276.0028258,58.67185625
IRQ,2004,4.421485863,0.188459815
ISR,2004,67.69178197,1.039268955
ITA,2004,17224.87734,1184.650196
JAM,2004,3901.152525,115.4403226
JEY,2004,1.164486755,0.050686023
JOR,2004,2.285148839,1.501490039
JPN,2004,37312.53504,124.7462948
KAZ,2004,5513.10185,1807.054107
KEN,2004,16988.3283,61.29017309
KGZ,2004,192.268986,70.33548409
KHM,2004,79250.90741,2177.795711
KNA,2004,25.0763394,0.073589413
KOR,2004,11406.23474,0
LAO,2004,64248.47656,129.1299478
LBN,2004,109.2798766,22.99889181
LBR,2004,6233.559719,16.52674782
LBY,2004,10.26316376,0
LCA,2004,40.20301619,2.241332535
LIE,2004,9.430858215,0.368723701
LKA,2004,5599.447793,114.0652497
LSO,2004,4.377548763,0.133821683
LTU,2004,13100.96703,59.40313002
LUX,2004,311.4913424,2.643195535
LVA,2004,30638.90654,130.5432312
MAF,2004,1.611069718,0.073236988
MAR,2004,1440.577721,0
MDA,2004,264.0361809,21.11130293
MDG,2004,81845.25203,1813.771213
MDV,2004,2.372010473,0
MEX,2004,169841.4503,14578.96921
MKD,2004,2200.45235,64.38776312
MLI,2004,153.3126343,0.224536471
MLT,2004,2.504050279,0.062563377
MMR,2004,102186.3236,1309.231957
MNE,2004,915.3286137,96.72937841
MNG,2004,53302.97359,48109.64418
MOZ,2004,107725.6994,569.0814831
MRT,2004,0.073707407,0
MSR,2004,7.670082819,0.073755814
MTQ,2004,166.9943681,1.937062555
MUS,2004,328.8277761,0
MWI,2004,5712.450872,10.11657759
MYS,2004,351801.5405,5868.893568
MYT,2004,5.104813809,0
NAM,2004,61.463207,0.219966772
NCL,2004,1510.202993,575.7357229
NER,2004,0.075177348,0
NGA,2004,14643.94795,52.0406016
NIC,2004,21064.75244,459.184804
NLD,2004,1297.312207,112.9179417
NOR,2004,33742.07112,1142.592779
NPL,2004,2479.589152,283.6781112
NZL,2004,60680.50743,1218.96233
PAK,2004,1168.056217,646.3812831
